tau,tau_prime,method,final_cos_sim,final_stderr,n_left,n_right,n_indifferent,n_incomparable,n_decisive_total,n_forced,n_attempts,learning_curve_mean,learning_curve_stderr
0.2,0.6,bt_laplace_bald_k,0.8292724997808149,0.039194539342539504,28,32,0,12,60,0,72,"0.7263,0.6406,0.7017,0.7166,0.7393,0.7216,0.7673,0.7089,0.7226,0.6568,0.6410,0.6594,0.7363,0.7246,0.7151,0.7493,0.7283,0.7350,0.7940,0.8293","0.0577,0.1019,0.0891,0.1173,0.0582,0.0407,0.0472,0.0287,0.0207,0.0349,0.0289,0.0260,0.0721,0.0593,0.0704,0.0907,0.0983,0.0744,0.0349,0.0392"
0.2,0.6,bt_laplace_bald_random,0.5437948829967018,0.028693799772384333,21,27,0,12,60,12,0,"0.7812,0.7972,0.8923,0.6109,0.6846,0.6077,0.7115,0.6689,0.6756,0.6543,0.6655,0.6370,0.7253,0.6771,0.6400,0.6314,0.5679,0.5613,0.5919,0.5438","0.0092,0.0080,0.0143,0.1376,0.0970,0.1210,0.0879,0.0886,0.1131,0.1061,0.0833,0.1055,0.0693,0.0769,0.0836,0.0764,0.0761,0.0261,0.0635,0.0287"
0.2,0.6,bt_laplace_bald_left,0.6938197938820067,0.061481689997192425,27,25,0,8,60,8,0,"0.7719,0.7618,0.7219,0.7379,0.7809,0.7080,0.6698,0.7360,0.6374,0.6394,0.6805,0.6720,0.6702,0.6171,0.6755,0.6576,0.7099,0.6618,0.6624,0.6938","0.0687,0.0621,0.0616,0.0354,0.0402,0.0287,0.0298,0.0193,0.0433,0.0446,0.0388,0.0422,0.0571,0.0518,0.0340,0.0632,0.0181,0.0654,0.0895,0.0615"
0.2,0.8,multiframe,0.9889226207389558,0.0059715327050754476,14,17,27,2,31,0,0,"0.8754,0.8852,0.8767,0.9605,0.8913,0.9008,0.9197,0.9732,0.9757,0.9924,0.9729,0.9832,0.9461,0.9796,0.9900,0.9905,0.9924,0.9961,0.9887,0.9889","0.0193,0.0399,0.0432,0.0181,0.0450,0.0400,0.0439,0.0084,0.0149,0.0021,0.0003,0.0034,0.0204,0.0064,0.0059,0.0031,0.0007,0.0004,0.0055,0.0060"
0.2,0.8,bt_laplace_bald,0.6145222529730674,0.05712930524389516,29,18,1,12,47,0,0,"0.7183,0.7682,0.6980,0.7407,0.5945,0.6251,0.5660,0.5886,0.6315,0.6625,0.6594,0.6486,0.6514,0.6539,0.6827,0.6496,0.6395,0.6244,0.6210,0.6145","0.0471,0.0592,0.1196,0.0694,0.0779,0.1182,0.1085,0.0493,0.0846,0.0799,0.0682,0.0470,0.0526,0.0660,0.0689,0.0795,0.0729,0.0745,0.0620,0.0571"
0.2,0.8,bt_laplace_bald_k,0.6737548674018008,0.05501475483165668,27,33,0,23,60,0,83,"0.7808,0.7421,0.8107,0.7516,0.8192,0.7259,0.7257,0.6982,0.6547,0.6345,0.6665,0.6479,0.6351,0.6189,0.6712,0.6650,0.7173,0.7000,0.7216,0.6738","0.0216,0.0318,0.0354,0.1048,0.0679,0.0634,0.0748,0.0172,0.0381,0.0408,0.0480,0.0730,0.0519,0.0586,0.0747,0.1064,0.0700,0.0672,0.0511,0.0550"
0.2,0.8,bt_laplace_bald_random,0.510425087193815,0.04275969066017342,22,24,0,14,60,14,0,"0.7747,0.7645,0.6266,0.6143,0.6738,0.7042,0.6867,0.6686,0.7538,0.7234,0.7238,0.6000,0.5769,0.6176,0.6413,0.6437,0.5870,0.6236,0.5919,0.5104","0.0267,0.0468,0.0768,0.0218,0.0286,0.0633,0.0455,0.0931,0.0713,0.0683,0.0397,0.0428,0.0775,0.1002,0.0489,0.0543,0.0624,0.0070,0.0135,0.0428"
0.2,0.8,bt_laplace_bald_left,0.6784899898656582,0.059185232291127744,25,23,1,11,60,12,0,"0.7450,0.7856,0.6547,0.6860,0.8136,0.7425,0.7473,0.7161,0.6042,0.6335,0.5694,0.5881,0.5817,0.5926,0.5902,0.6735,0.6852,0.6711,0.6544,0.6785","0.0886,0.0440,0.1102,0.0373,0.0271,0.0442,0.0666,0.0405,0.0689,0.0940,0.0753,0.0639,0.0345,0.0587,0.0741,0.0444,0.0414,0.0642,0.0667,0.0592"
0.4,0.0,multiframe,0.9991987952319391,0.0003879193366514754,18,17,25,0,35,0,0,"0.9568,0.9128,0.9556,0.9421,0.9482,0.9729,0.9822,0.9920,0.9855,0.9634,0.9849,0.9786,0.9853,0.9942,0.9404,0.9958,0.9693,0.9842,0.9801,0.9992","0.0019,0.0418,0.0253,0.0271,0.0285,0.0077,0.0062,0.0015,0.0029,0.0206,0.0041,0.0133,0.0074,0.0012,0.0382,0.0015,0.0198,0.0044,0.0086,0.0004"
0.4,0.0,bt_laplace_bald,0.7768263901581501,0.024471096060276393,24,26,10,0,50,0,0,"0.7981,0.7827,0.6682,0.6997,0.6973,0.7317,0.7222,0.6769,0.7213,0.7413,0.7364,0.7336,0.7330,0.7382,0.7700,0.7729,0.8151,0.8047,0.7820,0.7768","0.0341,0.0495,0.0369,0.0222,0.0585,0.0331,0.0602,0.0913,0.0997,0.0349,0.0398,0.0649,0.0650,0.0284,0.0217,0.0308,0.0333,0.0534,0.0117,0.0245"
0.4,0.0,bt_laplace_bald_k,0.6810786920075188,0.10334370374446315,32,28,8,0,60,0,68,"0.7551,0.7587,0.6670,0.7657,0.7571,0.7704,0.7947,0.7765,0.8067,0.8426,0.8396,0.8095,0.8436,0.8238,0.7946,0.7968,0.7547,0.7584,0.7407,0.6811","0.0628,0.0528,0.0387,0.0471,0.0982,0.0825,0.0620,0.0801,0.0881,0.0268,0.0462,0.0349,0.0469,0.0545,0.0324,0.0538,0.0798,0.0470,0.0655,0.1033"
