tau,tau_prime,method,trial,attempt,cos_sim
0.0,0.2,bt_map,1,14,0.13771610045208532
0.0,0.2,bt_map,1,15,0.13771610045208532
0.0,0.2,bt_map,1,16,0.1595539348361372
0.0,0.2,bt_map,1,17,0.19411271433791852
0.0,0.2,bt_map,1,18,0.17824422268325035
0.0,0.2,bt_map,1,19,0.11212084163674545
0.0,0.2,bt_map,1,20,0.11212084163674545
0.0,0.2,bt_map,2,1,0.8845406754687638
0.0,0.2,bt_map,2,2,0.6547561959459389
0.0,0.2,bt_map,2,3,0.6083161307202495
0.0,0.2,bt_map,2,4,0.7321474470797373
0.0,0.2,bt_map,2,5,0.7693013872034143
0.0,0.2,bt_map,2,6,0.7197590499459612
0.0,0.2,bt_map,2,7,0.5941677969796155
0.0,0.2,bt_map,2,8,0.32830866453369983
0.0,0.2,bt_map,2,9,0.4407559988101397
0.0,0.2,bt_map,2,10,0.3836689129525197
0.0,0.2,bt_map,2,11,0.33481600620165103
0.0,0.2,bt_map,2,12,0.34449815683206864
0.0,0.2,bt_map,2,13,0.35013170258436765
0.0,0.2,bt_map,2,14,0.2861176813272903
0.0,0.2,bt_map,2,15,0.5236230453483418
0.0,0.2,bt_map,2,16,0.7074852948954442
0.0,0.2,bt_map,2,17,0.6949347360990829
0.0,0.2,bt_map,2,18,0.7274742403188553
0.0,0.2,bt_map,2,19,0.7090398617164191
0.0,0.2,bt_map,2,20,0.5960588979857514
0.0,0.2,bt_map_k,0,1,0.8013970145751218
0.0,0.2,bt_map_k,0,2,0.8013970145751218
0.0,0.2,bt_map_k,0,3,0.5156083176480531
0.0,0.2,bt_map_k,0,4,0.6012396843880256
0.0,0.2,bt_map_k,0,5,0.5840479877429265
0.0,0.2,bt_map_k,0,6,0.693208258817378
0.0,0.2,bt_map_k,0,7,0.8924975976295763
0.0,0.2,bt_map_k,0,8,0.7506616905336725
0.0,0.2,bt_map_k,0,9,0.41081344828507005
0.0,0.2,bt_map_k,0,10,0.4108146653698773
0.0,0.2,bt_map_k,0,11,0.3854372492694226
