seed,k,method,logloss,acc,n_train,n_left,n_right,n_indiff,n_incomp
3,500,C,0.6313895351504064,0.736,500,263,237,0,0
4,500,A,0.46522071662924774,0.7746,500,261,239,0,0
4,500,B1,0.6327586255256434,0.6788,500,261,239,0,0
4,500,B2,0.46523166300015273,0.7748,500,261,239,0,0
4,500,C,0.6305518219788916,0.7168,500,245,255,0,0
5,500,A,0.46648514462256563,0.769,500,251,249,0,0
5,500,B1,0.6316790876657453,0.6888,500,251,249,0,0
5,500,B2,0.46647700468174136,0.769,500,251,249,0,0
5,500,C,0.6311249118558615,0.7088,500,246,254,0,0
6,500,A,0.46688531360481655,0.7706,500,236,264,0,0
6,500,B1,0.6318473532118808,0.746,500,236,264,0,0
6,500,B2,0.4668820006091968,0.7706,500,236,264,0,0
6,500,C,0.6313243299978077,0.7166,500,242,258,0,0
7,500,A,0.4711262499054532,0.7692,500,259,241,0,0
7,500,B1,0.6365599613707372,0.671,500,259,241,0,0
7,500,B2,0.47114403741836997,0.7692,500,259,241,0,0
7,500,C,0.6310737834083153,0.7158,500,266,234,0,0
8,500,A,0.467114217321904,0.7712,500,261,239,0,0
8,500,B1,0.6312454386671348,0.7206,500,261,239,0,0
8,500,B2,0.46708005397170743,0.771,500,261,239,0,0
8,500,C,0.6306648496467996,0.7338,500,258,242,0,0
9,500,A,0.46986771419136164,0.767,500,254,246,0,0
9,500,B1,0.6329639532289395,0.6782,500,254,246,0,0
9,500,B2,0.4698818946097695,0.767,500,254,246,0,0
9,500,C,0.6306096684485366,0.7228,500,260,240,0,0
10,500,A,0.4770432586101015,0.7654,500,249,251,0,0
10,500,B1,0.6313692919457803,0.6916,500,249,251,0,0
10,500,B2,0.47701809665327344,0.7654,500,249,251,0,0
10,500,C,0.6312104057588652,0.6988,500,253,247,0,0
11,500,A,0.4797294894510537,0.766,500,232,268,0,0
11,500,B1,0.6369774133680046,0.685,500,232,268,0,0
11,500,B2,0.4796871380092704,0.7658,500,232,268,0,0
11,500,C,0.6309443031786365,0.7078,500,242,258,0,0
12,500,A,0.46498188778092253,0.773,500,242,258,0,0
12,500,B1,0.6315054824252171,0.7436,500,242,258,0,0
12,500,B2,0.4649424571617992,0.773,500,242,258,0,0
12,500,C,0.6314152287074672,0.7116,500,252,248,0,0
13,500,A,0.46991126307068315,0.7716,500,265,235,0,0
13,500,B1,0.6305371973810319,0.7128,500,265,235,0,0
13,500,B2,0.4699626154476594,0.7716,500,265,235,0,0
13,500,C,0.6310311675428502,0.7416,500,243,257,0,0
14,500,A,0.4644000967847018,0.7716,500,246,254,0,0
