personID,food,size_A,access_A,income_A,poverty_A,last_donation_A,total_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,total_donation_B,dist_B,num_Q,AorB
F2,1,2,0,5,0,4,76,3,2,1,1,4,7,84,2,35,B
F2,1,4,1,5,1,10,17,1,4,2,0,1,4,61,0,36,B
F2,1,2,1,2,2,7,53,0,3,0,2,0,1,33,0,37,A
F2,0,1,2,5,0,11,4,0,4,1,4,0,4,43,0,38,A
F2,1,2,2,1,2,1,22,2,2,2,5,1,4,73,1,39,B
F2,0,0,1,2,3,9,84,1,4,1,5,1,1,58,1,40,A
F2,0,3,2,5,1,4,72,2,2,1,5,1,2,48,2,41,A
F2,0,4,1,4,0,1,38,3,4,2,5,0,0,0,0,42,B
F2,1,0,0,1,4,9,60,1,1,2,3,0,6,4,1,43,B
F2,1,1,1,2,0,12,65,0,3,0,2,1,0,0,3,44,A
F2,0,3,0,5,0,9,71,1,2,1,1,0,3,3,1,45,A
R1,0,3,1,1,4,5,51,0,0,0,5,0,3,76,2,1,A
R1,1,1,0,5,1,9,3,2,3,0,3,1,4,55,1,2,B
R1,1,1,0,5,0,0,0,2,0,2,5,0,11,81,1,3,A
R1,1,2,2,5,1,4,86,1,3,1,5,1,11,70,0,4,A
R1,0,0,2,0,6,11,50,1,2,0,2,3,9,17,1,5,A
R1,0,0,2,0,4,1,69,0,2,0,3,1,6,52,2,6,A
R1,0,0,0,1,0,6,42,1,4,0,4,1,6,50,1,7,B
R1,0,1,1,5,0,10,89,3,0,2,3,1,2,70,0,8,B
R1,1,0,1,3,1,1,19,1,1,1,1,4,3,20,3,9,B
R1,0,3,2,1,2,8,32,1,4,2,2,1,5,23,2,10,A
R1,1,2,0,3,0,10,21,1,1,1,4,1,8,28,3,11,B
R1,1,3,1,4,1,10,76,3,4,2,2,2,7,85,3,12,B
R1,1,4,1,2,0,11,4,0,2,2,0,0,10,32,2,13,B
R1,1,2,0,4,1,8,81,2,3,0,0,4,11,49,1,14,B
R1,1,3,2,5,0,11,84,1,4,1,2,1,8,47,2,15,B
R1,1,4,2,3,0,11,17,2,0,2,5,0,0,0,2,16,B
R1,1,1,2,5,0,9,62,1,0,1,5,0,3,44,3,17,A
R1,1,3,0,3,1,11,3,2,4,1,3,0,0,0,1,18,A
R1,1,0,0,2,3,7,3,2,4,2,2,2,9,3,3,19,B
R1,0,2,2,2,2,10,31,0,4,0,0,3,2,88,2,20,B
R1,0,4,0,3,1,7,58,3,4,2,4,1,9,86,2,21,B
R1,1,2,1,5,1,0,0,3,1,0,3,0,7,2,0,22,A
R1,0,0,2,3,0,8,13,2,0,0,0,1,10,18,3,23,B
R1,0,0,2,5,1,5,19,3,3,2,2,1,1,1,2,24,B
R1,1,0,1,4,0,4,69,2,4,0,1,0,11,21,0,25,B
R1,1,1,1,3,1,9,26,0,1,0,4,0,2,59,2,26,A
R1,0,0,0,1,3,10,86,1,4,0,1,2,3,8,2,27,B
R1,0,3,0,2,0,0,0,0,2,2,2,3,12,83,2,28,B
R1,1,1,2,3,1,10,55,2,2,0,1,0,7,63,3,29,A
R1,0,4,0,4,1,4,30,2,1,2,3,0,2,39,0,30,B
R1,0,3,1,3,1,10,83,2,4,0,5,0,1,14,3,31,A
R1,1,0,2,2,0,3,77,1,1,2,2,0,11,47,2,32,A
R1,1,0,0,1,1,9,38,3,3,0,4,0,11,78,1,33,A
R1,0,1,1,5,0,11,63,3,0,0,5,1,9,9,0,34,B
R1,1,1,0,0,6,1,55,1,4,1,1,4,9,57,1,35,A
R1,0,0,0,2,3,10,51,2,2,1,0,2,10,43,3,36,B
R1,0,3,0,5,1,2,52,1,0,2,4,0,3,27,2,37,B
R1,1,1,2,0,4,4,57,2,4,1,5,0,3,41,2,38,A
R1,0,3,1,1,1,0,0,3,0,2,2,3,6,10,2,39,B
R1,0,0,0,2,1,2,72,3,2,2,0,4,5,85,2,40,B
R2,0,4,1,1,4,0,0,0,3,0,0,5,7,64,2,1,A
R2,0,3,1,3,0,7,62,0,3,2,0,3,1,16,0,2,B
R2,1,1,1,4,1,6,38,1,0,1,2,2,5,85,0,3,B
R2,0,3,1,0,6,3,54,0,1,2,5,0,7,65,2,4,A
R2,1,0,1,5,0,1,27,0,4,1,0,4,10,78,0,5,B
R2,0,1,0,2,1,9,26,1,2,1,3,1,9,4,3,6,B
R2,0,2,0,0,6,7,89,3,4,2,2,1,11,28,3,7,B
R2,1,2,1,3,1,11,37,1,0,0,0,6,4,60,0,8,A
R2,0,2,0,4,1,12,88,3,1,0,5,0,1,31,1,9,A
R2,1,3,0,1,3,2,86,3,2,0,1,0,1,68,2,10,A
R2,1,2,1,2,1,6,64,2,2,0,0,5,9,9,0,11,A
R2,1,4,0,3,0,11,62,1,2,0,2,2,8,47,3,12,A
R2,0,3,1,5,0,6,4,0,2,2,5,1,9,75,0,13,B
R2,0,1,0,2,0,5,7,1,2,0,3,0,0,0,2,14,B
R2,1,0,2,3,0,11,46,1,2,0,0,3,8,42,3,15,A
R2,1,1,1,5,1,8,40,0,2,1,4,1,4,12,1,16,B
R2,1,0,0,2,3,2,82,1,4,1,4,1,12,89,0,17,B
R2,1,4,0,5,1,1,75,3,0,1,5,1,4,14,0,18,A
R2,0,2,2,0,0,6,60,0,2,1,1,4,10,22,0,19,A
R2,0,1,0,1,1,7,11,3,2,0,3,1,6,26,2,20,B
R2,0,1,0,1,2,1,77,3,4,2,1,4,5,3,3,21,B
R2,0,0,2,0,5,2,86,2,1,1,1,2,6,23,1,22,A
R2,0,2,1,1,0,0,0,3,2,1,3,0,9,73,2,23,B
R2,1,3,1,4,1,10,42,0,3,0,1,4,9,36,0,24,A
R2,0,4,2,1,3,3,45,1,2,1,4,1,2,59,1,25,A
R2,0,3,1,3,1,12,55,2,1,2,2,1,1,8,1,26,B
R2,0,3,2,1,4,3,24,0,1,2,3,0,0,0,1,27,A
R2,1,2,2,1,0,8,71,2,1,0,4,1,7,32,1,28,A
R2,1,1,2,2,1,10,22,3,3,0,3,0,7,46,0,29,B
R2,0,3,1,0,7,9,76,3,1,1,2,2,12,48,1,30,A
R2,1,2,2,1,0,5,71,0,0,2,1,1,9,53,2,31,A
R2,1,2,0,4,0,10,68,0,2,0,4,1,11,7,3,32,A
R2,1,3,0,4,1,5,13,3,0,0,2,0,1,29,0,33,A
R2,0,0,2,1,2,4,69,1,4,1,0,0,6,68,1,34,B
R2,1,1,2,1,3,3,56,2,2,1,5,1,7,58,3,35,B
R2,1,3,1,5,1,2,71,0,0,0,4,0,9,85,2,36,A
R2,1,1,0,4,1,1,11,1,1,0,3,1,11,18,1,37,A
R2,0,0,1,0,0,6,13,3,0,0,3,0,12,89,2,38,A
R2,1,0,1,4,0,11,73,0,2,1,5,0,1,77,1,39,B
R2,0,4,0,0,7,8,32,3,2,1,5,0,1,43,1,40,A
R2,0,0,2,0,0,5,8,2,2,0,2,3,9,76,3,41,A
R2,1,3,1,2,0,6,37,3,2,2,4,0,6,38,2,42,A
R2,1,4,2,2,1,9,75,1,2,2,3,0,8,86,3,43,A
R2,1,2,1,5,0,11,75,1,1,0,2,3,6,81,0,44,A
R2,0,1,0,1,3,3,15,1,1,2,1,0,12,52,0,45,B
R3,0,1,2,2,0,11,15,1,1,2,0,0,12,33,2,1,B
R3,1,3,0,0,1,0,0,2,3,1,4,0,6,20,3,2,A
R3,1,0,2,0,0,0,0,2,4,2,4,0,9,52,0,3,B
R3,1,2,0,4,1,1,41,3,2,1,3,0,2,85,0,4,B
R3,0,4,1,0,3,3,26,0,4,0,1,1,11,44,2,5,B
R3,0,3,1,3,0,1,82,0,4,1,0,0,4,31,0,6,B
R3,0,3,2,1,1,5,31,0,0,1,5,0,0,0,1,7,A
R3,0,3,1,2,0,12,75,3,4,1,3,1,0,0,0,8,B
R3,0,1,2,2,0,0,0,1,1,0,3,0,4,17,2,9,A
R3,0,3,2,1,0,8,90,0,3,0,0,6,6,52,0,10,A
R3,1,1,2,1,1,10,38,1,2,1,5,0,8,81,3,11,A
R3,1,3,2,3,1,11,81,0,2,0,3,1,0,0,1,12,A
R3,0,4,0,5,0,3,90,0,2,0,5,1,7,2,2,13,A
R3,1,2,2,5,0,1,62,1,2,1,4,1,1,46,0,14,A
R3,1,0,1,1,2,5,59,2,3,1,0,4,9,21,0,15,B
R3,1,4,1,2,3,1,11,1,0,0,2,3,8,22,0,16,A
R3,1,1,2,1,4,7,86,0,2,0,3,0,10,72,3,17,A
R3,1,2,2,5,1,10,16,2,3,2,2,2,3,29,2,18,B
R3,0,0,2,5,1,11,24,1,0,0,2,2,6,84,0,19,A
R3,0,1,1,2,0,7,2,2,0,0,3,0,9,46,0,20,B
R3,1,4,1,1,0,12,62,3,3,1,0,1,9,8,2,21,A
R3,0,0,0,1,1,5,29,0,3,1,0,6,6,40,2,22,B
R3,0,3,0,5,0,12,57,2,0,1,2,1,4,41,1,23,B
R3,0,0,0,4,1,7,49,0,1,1,0,1,4,20,0,24,B
R3,0,2,2,2,0,8,49,2,2,2,5,1,5,77,0,25,B
R3,1,0,1,5,0,4,58,2,0,1,2,2,1,12,1,26,B
R3,1,4,1,5,1,11,58,2,1,2,2,3,2,30,0,27,B
R3,0,1,0,3,1,11,45,2,1,1,5,1,4,21,2,28,B
R3,0,0,0,5,0,3,39,2,2,2,5,0,5,18,3,29,B
R3,1,4,2,1,0,8,53,3,1,2,2,3,9,67,2,30,A
R3,0,4,0,3,1,1,25,0,4,2,2,0,1,53,0,31,B
R3,0,1,1,4,1,3,45,3,1,2,3,1,10,27,3,32,B
R3,1,1,2,1,2,2,71,1,3,1,1,2,8,89,2,33,A
R3,1,4,2,4,0,0,0,2,4,0,4,0,12,48,3,34,A
R3,0,2,0,3,1,2,35,0,0,1,3,1,10,87,1,35,A
R3,0,3,1,4,0,0,0,2,0,1,3,1,7,15,2,36,A
R3,0,1,2,1,1,8,6,3,2,0,1,2,1,80,3,37,B
R3,1,2,0,3,1,6,26,2,3,2,3,0,2,7,3,38,B
R3,1,0,0,2,3,0,0,1,1,0,1,2,2,23,1,39,B
R3,0,4,0,1,3,11,85,3,2,2,2,3,6,84,1,40,B
R3,1,3,0,0,6,0,0,3,3,2,2,3,5,54,0,41,B
R3,1,2,1,0,2,11,58,2,0,1,4,0,5,16,1,42,A
R3,1,3,2,3,0,3,19,0,2,1,5,0,12,44,2,43,A
R3,1,3,1,2,2,6,25,1,2,2,5,0,5,59,2,44,A
R3,0,2,0,2,3,2,66,0,4,0,5,1,11,40,0,45,B
R3,0,4,2,4,1,4,89,3,1,0,2,2,1,11,1,46,A
R3,0,1,2,2,0,4,41,1,4,0,2,1,2,3,1,47,B
R4,1,3,1,4,1,11,11,3,1,2,0,1,3,14,2,1,B
R4,1,2,1,1,1,11,22,0,2,1,3,0,5,54,1,2,A
R4,0,4,1,3,0,10,31,2,4,1,1,2,10,52,0,3,B
