personID,num_Q,AorB,food,size_A,access_A,income_A,poverty_A,last_donation_A,dist_A,size_B,access_B,income_B,poverty_B,last_donation_B,dist_B,r,kappa,sy,sx,bt_pred
D5,40,A,0,1,0,1,0,3,3,0,1,5,1,4,3,0.5365690993895296,0.5038974371740472,0.5202332682817884,0.016335831107741172,A
D5,41,A,0,4,0,1,3,5,1,2,2,3,1,11,1,0.33308334756604735,0.33308334756604735,0.33308334756604735,0.0,A
D5,42,B,1,1,0,1,4,3,3,1,2,0,5,7,2,0.21473175100411734,-0.1765255523600516,0.01910309932203287,0.1956286516820845,B
D5,43,A,0,0,0,2,3,5,3,1,1,5,0,8,3,0.45226598617685426,0.4335615999876869,0.4429137930822706,0.009352193094583683,A
D5,44,A,1,0,1,0,2,10,3,2,2,1,2,6,3,0.16433381060037427,0.08871883957797386,0.12652632508917405,0.03780748551120021,A
D5,45,B,1,2,2,4,1,6,2,0,0,2,1,6,0,0.377290027337854,-0.33988125495951926,0.018704386189167366,0.35858564114868663,B
D5,46,A,1,1,2,0,3,8,0,2,2,5,0,11,1,0.7580851318403717,0.7393807456512044,0.7487329387457881,0.009352193094583683,A
D5,47,B,0,4,2,4,1,10,3,4,0,2,1,6,3,0.27215574950038113,-0.27215574950038113,0.0,0.27215574950038113,B
D5,48,A,0,2,1,1,0,6,0,2,2,2,0,5,0,0.13130209991968236,0.12175055025866595,0.12652632508917416,0.004775774830508207,A
D5,49,A,1,3,0,4,0,10,1,0,0,5,1,0,0,0.27144297927091765,0.03772282947493255,0.1545829043729251,0.11686007489799255,A
F1,1,A,0,2,0,0,6,11,2,2,0,0,3,5,1,0.3905780832706546,0.16215990918538783,0.2763689962280212,0.11420908704263337,A
F1,2,B,0,4,0,1,2,3,1,0,0,1,2,12,1,0.0,0.0,0.0,0.0,B
F1,3,A,1,3,1,3,1,5,3,3,2,1,0,5,1,0.3267970466646324,-0.14255104917928496,0.09212299874267371,0.23467404792195867,B
F1,4,A,1,4,1,1,1,3,2,4,1,3,1,3,3,0.11420908704263336,0.11420908704263336,0.11420908704263336,0.0,A
F1,5,B,0,4,1,5,0,11,0,2,2,2,1,4,1,0.21258795962199903,0.015830214463267628,0.11420908704263333,0.0983788725793657,A
F1,6,A,1,1,0,4,1,10,1,4,0,1,2,4,1,0.09212299874267373,-0.09212299874267373,0.0,0.09212299874267373,B
